"id","sex","taxon","event","lat","lon","ele","coordinateNotes","label","start","end","sample","trap","site","NA"
"10227","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/9",1998-12-17,1999-01-20,"c2-9","c2","clay","Amazon 1998"
"10228","M","Syzeuctus sp3","Amazon 1998","","","","","25
PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI C2/9 013
16 [or 91?]",1998-12-17,1999-01-20,"c2-9","c2","clay","Amazon 1998"
"10229","M","Syzeuctus sp3","Amazon 2000","-3.9445","-73.413527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 16.7-2.8.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/10",2000-07-16,2000-08-02,"f1-10","f1","loam","Amazon 2000"
"10230","M","Syzeuctus sp3","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.10-8.11.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/15",2000-10-17,2000-11-08,"h1-15","h1","loam","Amazon 2000"
"10231","F","Syzeuctus sp4","Amazon 2011","-3.967163888889","-73.417222222222","130","The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 31.10 -6.11.2011 I.Gómez&Sääksjärvi leg. Malaise2 Week24 30 58' 17\"S  73 25' 20\"W",2011-10-30,2011-11-06,"m2-24","m2","secondary","Amazon 2011"
"10232","F","Syzeuctus sp4","Amazon 2011","-3.951383333333","-73.402588888889","90","The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 26.9-2.10.2011 Gómez&Sääksjärvi leg. Malaise1 Week19 30 57' 49\"S  73 24' 93\" W",2011-09-25,2011-10-02,"m1-19","m1","secondary","Amazon 2011"
"10513","F","Syzeuctus sp1","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.10.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/4 130
21
49",1998-10-01,1998-10-16,"a1-4","a1","clay","Amazon 1998"
"10514","F","Syzeuctus sp1","Amazon 1998","","","","","27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 313
43",1998-12-16,1999-01-01,"a1-9","a1","clay","Amazon 1998"
"10515","F","Syzeuctus sp1","Amazon 1998","","","","","42
PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.9-4.10.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/3 011
47",1998-09-18,1998-10-04,"c2-3","c2","clay","Amazon 1998"
"10516","F","Syzeuctus sp1","Amazon 1998","","","","","42
PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.9-4.10.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/3 012
48",1998-09-18,1998-10-04,"c2-3","c2","clay","Amazon 1998"
"10517","F","Syzeuctus sp1","Amazon 1998","","","","","59
PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/9 015
46",1998-12-17,1999-01-20,"d1-9","d1","sand","Amazon 1998"
"10518","F","Syzeuctus sp1","Amazon 1998","","","","","57
PERU, Dept. of Loreto Iquitos area, Allpahuayo 20.8-4.9.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/1 007
45",1998-08-20,1998-09-04,"d1-1","d1","sand","Amazon 1998"
